game_id,title,old_region,new_region_family,new_market_region,region_code,serial,languages,classification_source,confidence,action,source_urls,review_reasons,url
ps2-usa-dragon-ball-z-budokai-3-limited-edition,Dragon Ball Z Budokai 3 [Limited Edition],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,index_only_title_and_serial_not_corroborated|no_exact_redump_serial|market_requires_additional_evidence,/catalogo/dragon-ball-z-budokai-3-limited-edition-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-greatest-hits,Dragon Ball Z Budokai [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-greatest-hits-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi,Dragon Ball Z Budokai Tenkaichi,USA,NTSC-U/C,USA,US,SLUS-21227,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4044/",,/catalogo/dragon-ball-z-budokai-tenkaichi-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-2,Dragon Ball Z Budokai Tenkaichi 2,USA,NTSC-U/C,USA,US,SLUS-21441,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4045/",,/catalogo/dragon-ball-z-budokai-tenkaichi-2-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-2-greatest-hits,Dragon Ball Z Budokai Tenkaichi 2 [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-tenkaichi-2-greatest-hits-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-3,Dragon Ball Z Budokai Tenkaichi 3,USA,NTSC-U/C,USA,US,SLUS-21678,en|ja,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/4046/",,/catalogo/dragon-ball-z-budokai-tenkaichi-3-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-3-bonus-disc-bundle,Dragon Ball Z Budokai Tenkaichi 3 [Bonus Disc Bundle],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-tenkaichi-3-bonus-disc-bundle-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-3-greatest-hits,Dragon Ball Z Budokai Tenkaichi 3 [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-tenkaichi-3-greatest-hits-ps2-pal-us
ps2-usa-dragon-ball-z-budokai-tenkaichi-greatest-hits,Dragon Ball Z Budokai Tenkaichi [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-budokai-tenkaichi-greatest-hits-ps2-pal-us
ps2-usa-dragon-ball-z-infinite-world,Dragon Ball Z Infinite World,USA,NTSC-U/C,USA,US,SLUS-21842,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/26991/",,/catalogo/dragon-ball-z-infinite-world-ps2-pal-us
ps2-usa-dragon-ball-z-sagas,Dragon Ball Z Sagas,USA,NTSC-U/C,USA,US,SLUS-20874,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/7614/",,/catalogo/dragon-ball-z-sagas-ps2-pal-us
ps2-usa-dragon-ball-z-trilogy,Dragon Ball Z Trilogy,USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-ball-z-trilogy-ps2-pal-us
ps2-usa-dragon-quest-viii-journey-of-the-cursed-king,Dragon Quest VIII: Journey of the Cursed King,USA,NTSC-U/C,USA,US,SLUS-21207,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-21207.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/899/",,/catalogo/dragon-quest-viii-journey-of-the-cursed-king-ps2-pal-us
ps2-usa-dragon-quest-viii-journey-of-the-cursed-king-demo,Dragon Quest VIII: Journey Of The Cursed King [Demo],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-quest-viii-journey-of-the-cursed-king-demo-ps2-pal-us
ps2-usa-dragon-quest-viii-journey-of-the-cursed-king-greatest-hits,Dragon Quest VIII: Journey of the Cursed King [Greatest Hits],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/dragon-quest-viii-journey-of-the-cursed-king-greatest-hits-ps2-pal-us
ps2-usa-dragon-rage,Dragon Rage,USA,NTSC-U/C,USA,US,SLUS-20195,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/27997/",,/catalogo/dragon-rage-ps2-pal-us
ps2-usa-drakan-ancients-gates,Drakan Ancients Gates,USA,NTSC-U/C,USA,US,SCUS-97128,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SCUS-97128.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/6422/",,/catalogo/drakan-ancients-gates-ps2-pal-us
ps2-usa-drakan-the-ancients-gate-demo-disc,Drakan The Ancients' Gate [Demo Disc],USA,NTSC-U/C,,,,,review,unresolved,REVIEW,,no_exact_title_family_edition_reference,/catalogo/drakan-the-ancients-gate-demo-disc-ps2-pal-us
ps2-usa-drakengard,Drakengard,USA,NTSC-U/C,USA,US,SLUS-20732,en,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/games2/SLUS-20732.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/3781/",,/catalogo/drakengard-ps2-pal-us
ps2-usa-drakengard-2,Drakengard 2,USA,NTSC-U/C,USA,US,SLUS-21373,,redump-org,high,UNCHANGED,"https://psxdatacenter.com/psx2/ulist2.html|http://redump.org/datfile/ps2/serial,version|https://redump.info/disc/3788/",,/catalogo/drakengard-2-ps2-pal-us
