sourceName,slug,displayName,resolution,existing
PES Productions,pes-productions,PES Productions,exact-name-or-alias,True
PHL Collective,phl-collective,PHL Collective,exact-name-or-alias,True
PID Games,pid-games,PID Games,exact-name-or-alias,True
PLATINUMGAMES INC.,platinumgames,PlatinumGames Inc,exact-name-or-alias,True
PLAYISM,playism,Playism,exact-name-or-alias,True
PM Studios,pm-studios,PM Studios,exact-name-or-alias,True
PQube,pqube,PQube Ltd.,exact-name-or-alias,True
PQube Ltd,pqube,PQube Ltd.,exact-name-or-alias,True
PQube Ltd.,pqube,PQube Ltd.,exact-name-or-alias,True
Pastagames,pasta-games,Pasta Games,exact-name-or-alias,True
Paul Cuisset,paul-cuisset,Paul Cuisset,new-exact-credit-entity,False
Pendulo Studios,pendulo-studios,Pendulo Studios,exact-name-or-alias,True
People Can Fly,people-can-fly,People Can Fly,exact-name-or-alias,True
Perp Games,perp-games,Perp Games,exact-name-or-alias,True
Petit Fabrik,petit-fabrik,Petit Fabrik,exact-name-or-alias,True
Phenomedia Publishing,phenomedia,Phenomedia,explicit-existing,True
Piranha Games,piranha-games,Piranha Games,new-exact-credit-entity,False
Pix'n Love,pix-39-n-love,Pix 'n Love,explicit-existing,True
Pixel Lantern,pixel-lantern,Pixel Lantern,new-exact-credit-entity,False
Pixelsplit Games GmbH,pixelsplit-games-gmbh,Pixelsplit Games GmbH,new-exact-credit-entity,False
Pix’n Love Games,pixn-love-games,Pix’n Love Games,explicit-existing,True
Plaion,plaion,Plaion,exact-name-or-alias,True
Planet Entertainment,planet-entertainment,Planet Entertainment,new-exact-credit-entity,False
Platine Dispositif,platine-dispositif,Platine Dispositif,new-exact-credit-entity,False
Platinedispositif,platine-dispositif,Platine Dispositif,explicit-new,False
PlatinumGames,platinumgames,PlatinumGames Inc,explicit-existing,True
Playdead,playdead,Playdead,exact-name-or-alias,True
Polygon Art,polygon-art,Polygon Art,new-exact-credit-entity,False
Pretty Soon S.A.,pretty-soon-s-a,Pretty Soon S.A.,new-exact-credit-entity,False
Prime Matter,prime-matter,Prime Matter,exact-name-or-alias,True
Project Siren,project-siren,Project Siren,exact-name-or-alias,True
Pyramid,pyramid,Pyramid,exact-name-or-alias,True
QUANTIC DREAM SA,quantic-dream,Quantic Dream,explicit-existing,True
QUByte Interactive,qubyte,QUByte,explicit-existing,True
RECOTECHNOLOGY S.L.,recotechnology-s-l,Recotechnology S.L.,exact-name-or-alias,True
Raiser Games,raiser-games,Raiser Games,exact-name-or-alias,True
Ratalaika Games,ratalaika-games,Ratalaika Games,exact-name-or-alias,True
Ravenscourt,ravenscourt,Ravenscourt,exact-name-or-alias,True
Raylight Games,raylight-studios,Raylight Studios,explicit-existing,True
Realmforge Studios,realmforge-studios,Realmforge Studios,exact-name-or-alias,True
Rebellion Developments,rebellion-developments,Rebellion Developments,exact-name-or-alias,True
Red Art Games,red-art-games,Red Art Games,exact-name-or-alias,True
Red Hook Studios,red-hook-studios,Red Hook Studios,exact-name-or-alias,True
Redblack Spade,redblack-spade,Redblack Spade,new-exact-credit-entity,False
Reef Entertainment,reef-entertainment,Reef Entertainment,exact-name-or-alias,True
Reforged Studios Publishing (Malta) Limited,reforged-studios-publishing-malta-limited,Reforged Studios Publishing (Malta) Limited,new-exact-credit-entity,False
Repixel8 Ltd,repixel8-ltd,Repixel8 Ltd,new-exact-credit-entity,False
Revolution software,revolution-software,Revolution Software,exact-name-or-alias,True
Rising Star Games,rising-star-games,Rising Star Games limited,exact-name-or-alias,True
Robomodo,robomodo,Robomodo,exact-name-or-alias,True
Rock Nano Global,rock-nano-global,Rock Nano Global,new-exact-credit-entity,False
Rocksteady Studios,rocksteady-studios,Rocksteady Studios,exact-name-or-alias,True
Rodeo Games,rodeo-games,Rodeo Games,new-exact-credit-entity,False
Rogueside,rogueside,Rogueside,new-exact-credit-entity,False
Roll7,roll7,roll7,exact-name-or-alias,True
Ryu Ga Gotoku Studio,ryu-ga-gotoku-studio,Ryu Ga Gotoku Studio,exact-name-or-alias,True
SEGA,sega,Sega,exact-name-or-alias,True
SIMS,sims,Sims,exact-name-or-alias,True
SNK,snk,SNK Corporation,exact-name-or-alias,True
SOEDESCO,soedesco,Soedesco,exact-name-or-alias,True
SYSTEM 3 SOFTWARE,system-3-software-ltd,System 3 Software Ltd,explicit-existing,True
Saber Interactive,saber-interactive,Saber Interactive Inc,exact-name-or-alias,True
Santa Monica Studio,santa-monica-studio,Santa Monica Studio,exact-name-or-alias,True
Scott Cawthon,scott-cawthon,Scott Cawthon,new-exact-credit-entity,False
SebaGamesDev,sebagamesdev,SebaGamesDev,new-exact-credit-entity,False
Secret Mode,secret-mode,Secret Mode,new-exact-credit-entity,False
Sega,sega,Sega,exact-name-or-alias,True
Selecta Play,selecta-play,Selecta Play,exact-name-or-alias,True
SkyGoblin,skygoblin,SkyGoblin,new-exact-credit-entity,False
Skybound Games,skybound-games,Skybound Games,exact-name-or-alias,True
Skyhook Games,skyhook-games,Skyhook Games,new-exact-credit-entity,False
Slipgate Studios,slipgate-studios,Slipgate Studios,new-exact-credit-entity,False
Snail Games USA,snail-games-usa,Snail Games USA,exact-name-or-alias,True
Sobaka Studio,sobaka-studio,Sobaka Studio,exact-name-or-alias,True
