catalog_id,title,target_field,role,candidate_slugs,candidate_companies,confidence_levels,group_row_count,conflict_reason,source_urls
ps4-call-of-duty-vanguard,Call Of Duty: Vanguard,developer,DEVELOPER,sledgehammer-games | treyarch,Sledgehammer Games | Treyarch Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/207983 | https://store.steampowered.com/app/1985820 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-vanguard
ps4-carnival-games,Carnival Games,developer,DEVELOPER,2k | cat-daddy-games,2k | Carnival Games | Cat Daddy Games | Mass Media Games Inc Take-Two Interactive Software,HIGH,4,MULTIPLE_HIGH_COMPANIES,https://store.playstation.com/es-es/product/EP1001-CUSA13873_00-BARKERBASEGAME00 | https://www.wikidata.org/wiki/Q108905849
ps4-chorus,Chorus,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,deep-silver | koch-media,Deep SIlver | KOCH Media,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/chorus
ps4-coffee-talk,Coffee Talk,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,strictly-limited-games | united-games-entertainment-gmbh,Strictly Limited Games | United Games Entertainment GmbH,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/coffee-talk
ps4-cyberdimension-neptunia-4-goddesses-online,Cyberdimension Neptunia: 4 Goddesses Online,developer,DEVELOPER,idea-factory | tamsoft,"Compile Heart | Idea Factory Co., Ltd. | Tamsoft Corporation",HIGH,3,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/136070 | https://store.steampowered.com/app/632350 | https://www.pricecharting.com/game/pal-playstation-4/cyberdimension-neptunia-4-goddesses-online | https://www.wikidata.org/wiki/Q28686224
ps4-ender-lilies-quietus-of-the-knights,Ender Lilies Quietus Of The Knights,developer,DEVELOPER,adglobe | live-wire,Adglobe | Live Wire,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/463152 | https://store.steampowered.com/app/1369630 | https://www.wikidata.org/wiki/Q105768610
ps4-farmer%27s-dynasty,Farmer's Dynasty,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,nacon | toplitz-productions,Bigben Interactive | Nacon | Toplitz Productions,HIGH,3,MULTIPLE_HIGH_COMPANIES,https://www.pricecharting.com/game/pal-playstation-4/farmer%27s-dynasty
ps4-garou-mark-of-the-wolves-collector%27s-edition,Garou Mark of the Wolves [Collector's Edition],developer,DEVELOPER,code-mystics | snk,Code Mystics | SNK Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/211125 | https://store.steampowered.com/app/366240 | https://www.pricecharting.com/game/pal-playstation-4/garou-mark-of-the-wolves-collector%27s-edition | https://www.wikidata.org/wiki/Q1343613
ps4-garou-mark-of-the-wolves-ultimate-grant-edition,Garou Mark of the Wolves [Ultimate Grant Edition],developer,DEVELOPER,code-mystics | snk,Code Mystics | SNK Corporation,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/211125 | https://store.steampowered.com/app/366240 | https://www.pricecharting.com/game/pal-playstation-4/garou-mark-of-the-wolves-ultimate-grant-edition | https://www.wikidata.org/wiki/Q1343613
ps4-ghostbusters-the-video-game-remastered,Ghostbusters: The Video Game Remastered,developer,DEVELOPER,saber-interactive | terminal-reality,Saber Interactive Inc | Terminal Reality,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/171559 | https://store.playstation.com/es-es/product/EP2609-CUSA15558_00-GHOSTBUSTERSEU19 | https://store.steampowered.com/app/1449280 | https://www.pricecharting.com/game/pal-playstation-4/ghostbusters-the-video-game-remastered | https://www.wikidata.org/wiki/Q64210903
ps4-horizon-forbidden-west,Horizon Forbidden West,developer,DEVELOPER,guerrilla | guerrilla-games,Guerrilla | Guerrilla Games,HIGH | VERY_HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP9000-CUSA24705_00-FORBIDDENWESTPS4 | https://www.pricecharting.com/game/pal-playstation-4/horizon-forbidden-west
ps4-horizon-forbidden-west-special-edition,Horizon Forbidden West [Special Edition],developer,DEVELOPER,guerrilla | guerrilla-games,Guerrilla | Guerrilla Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP9000-CUSA24705_00-FORBIDDENWESTPS4 | https://www.pricecharting.com/game/pal-playstation-4/horizon-forbidden-west-special-edition
ps4-infernax,Infernax,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,merge-games | the-arcade-crew,Merge Games | The Arcade Crew,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.pricecharting.com/game/pal-playstation-4/infernax
ps4-injustice-gods-among-us-ultimate-edition,Injustice: Gods Among Us [Ultimate Edition],developer,DEVELOPER,high-voltage-software | netherrealm-studios,High Voltage Software | NetherRealm Studios,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/18420 | https://store.playstation.com/es-es/product/EP1018-CUSA00051_00-INJUSTICEULTIMAT | https://store.steampowered.com/app/242700 | https://www.pricecharting.com/game/pal-playstation-4/injustice-gods-among-us-ultimate-edition
ps4-john-wick-hex,John Wick HEX,publisher,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,good-shepherd-entertainment | lionsgate-games,Good Shepherd Entertainment | Lionsgate Games,HIGH,2,MULTIPLE_HIGH_COMPANIES,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.pricecharting.com/game/pal-playstation-4/john-wick-hex
